brand_id,brand_name,brand_image
2,Nec,nec.gif
3,Forth,ec4a46efbd81743781732e323c85f599_forth.gif
4,Grandstream,21cd027724ebf27b4280ec7157188e42_grandstream.gif
6,Intro,1cad35d4b3b9f624f82dbf237daaf188_1cad35d4b3b9f624f82dbf237daaf188_intro.gif
7,Hi-view,4cb4943b55f1f5a021dd0b18893e349a_hiview.gif
8,Avtech,106722c5c966e0ad7923cf02afb5c55b_avtech.gif
44,Fortinet,78207a4c95591bbd170b0e6bbf3b8157_fortinet_logo.png
10,Tamron,abc240d312c3f62b262c7c4f2c9434df_tamron.gif
11,Fujinon,050819b37fca34d9f45ee61230f797fc_fujinon.gif
12,PT&T,8c57c9241c7a674fd0cc69cc51662226_ptt_logo.gif
45,Bittel,641045f27253fc8c94ae107499e682ed_bittel_logo.jpg
22,Forth utility meter,d370a22e2f6b437dd42e7cd7a12084e0_forth_utility_meter.gif
1,Panasonic,4db2eb60906233021c65b511fe814034_panasonic.jpg
15,General Electric,b7dd9335262c963353fe9f12165a5a86_General-Electric.jpg
16,AzKinG,97c301d6e29192ab434508eecec0709a_AzKinG.jpg
17,PS,5d26059d57133fd540aec94ee0436b4a_ps.gif
24,No Brand,bed22d566737ba49ab6b0858080d4d66_bed22d566737ba49ab6b0858080d4d66_bed22d566737ba49ab6b0858080d4d66_no_image.gif
18,Western Digital,89acff1c11bb235db311b4b6434cfd76_western-digital.jpg
19,Linksys,1959727296190595779991b561fc4a80_linksys.jpg
20,Telecom FM,58307303ee1a817b7369dffcd97547dc_url.gif
21,Phelps Dodge,5cc2d972667608050382a1474cd62b67_phelps_dodge.gif
23,D-Link,6034373627436e5c9df0ae1229172d4b_d-link.jpg
25,Zksoftware,1d42cfa16a2ec9e33685bddfbc2b595d_27bb0c0f892cd55f53806760f9ac6c98_zkteco_logo.gif
28,Link,97e7c9a7d06eac006a28bf05467fcc8b_Link.png
29,ARTECH Voice Logger,eb6c13607cd870c6cdd7930f5cab87f8_ARTECH.png
30,Ango,595b4fc924d1b0615b395b2dad14f950_MR-ango.png
31,Epson,75e50da37b9cf4d4f5bbbb41522c1238_00.jpg
32,Freemate,a583e3806b0b07a8a4beda1891e6a08f_Free.png
33,FLUKE,6d9a26d66763dfce26e7430f97c6d747_fu.png
34,Germanyrack,fa72fa9e405b3bec9209c9c267012132_05.jpg
37,Yealink,yealink-logo.png
38,Yeastar,yeastar-logo.png
39,Kocom,099ecbe7eb676036e7d0bd9b90fcc8a6_kocom-logo-png-พื้นขาว-135x135-px.png
43,Fanvil,115a8d39d27e3b232971ca4966b588c3_logo-Fanvil.png
46,Retekess,00b2d5b3c1db2864cb9d163fa25ec200_Retekess.png
47,Hitrolink,6e394f83c324c2eb19d81ba833fe63b4_hitrolink_logo.png
48,ZKTeco,1f8600f047db981e229b049934b19cb1_logo_ZKTECO.png
49,maxhub,1e8c16d8e4487f8aad956ac413b8a74e_maxhub.png
50,Logitech ,cc1a2dac78369dce035b8b0fc09c53e9_logitech logo.jpg
51,Ericsson-LG,3e84fa269c61ff1a2184a68cd93f9860_ericsson-lg.png

