order_id,cusbasket_id,ip_address,order_date,order_status
198,200,58.11.236.77,2012-02-07 21:34:36,2
197,199,110.168.84.86,2012-02-04 11:34:32,2
195,197,183.89.91.206,2012-01-30 23:05:05,2
196,198,101.108.55.109,2012-01-31 14:00:54,2
199,201,183.88.46.148,2012-02-08 11:49:23,2
194,196,182.53.252.251,2012-01-30 16:26:42,2
188,190,124.122.220.127,2012-01-10 17:24:16,2
189,191,182.53.28.30,2012-01-11 15:45:49,2
193,195,202.29.42.51,2012-01-25 12:42:28,2
160,162,61.7.159.98,2011-09-20 13:18:05,2
183,185,61.90.9.251,2012-01-04 10:50:11,2
159,161,101.108.143.5,2011-09-17 12:43:46,2
182,184,61.90.9.251,2012-01-04 10:45:56,0
165,167,110.164.127.172,2011-11-03 11:26:24,2
166,168,110.164.127.172,2011-11-03 11:34:44,2
167,169,110.49.249.126,2011-12-02 16:46:20,2
180,182,115.87.210.253,2011-12-24 13:46:35,2
181,183,61.90.9.251,2012-01-04 10:38:35,0
206,208,182.52.92.110,2012-02-10 15:49:10,0
207,209,182.52.92.110,2012-02-10 15:53:49,2
204,206,203.146.100.82,2012-02-08 15:20:14,2
205,207,119.46.184.2,2012-02-08 15:43:34,2
208,210,103.1.165.6,2012-02-13 14:03:27,0
209,211,58.8.105.45,2012-02-14 11:05:32,2
210,212,119.160.215.66,2012-02-14 11:31:16,2
211,213,58.8.93.178,2012-02-14 12:40:51,2
212,214,125.25.215.172,2012-02-15 15:24:48,2
213,215,125.25.215.172,2012-02-15 15:40:07,2
214,216,110.168.209.207,2012-02-15 17:16:23,2
220,222,49.49.133.202,2012-02-16 17:38:39,2
216,218,124.120.148.193,2012-02-16 14:12:21,2
221,223,49.49.133.202,2012-02-16 18:54:42,2
218,220,203.146.116.101,2012-02-16 16:19:31,2
222,224,129.192.196.25,2012-02-17 10:29:54,2
225,227,124.121.47.229,2012-02-20 16:24:40,2
224,226,171.4.236.159,2012-02-17 15:51:15,2
226,228,124.122.120.165,2012-02-22 17:39:30,2
227,229,119.46.184.2,2012-02-23 10:45:54,2
228,230,101.51.167.214,2012-02-24 16:16:03,2
229,231,115.87.64.243,2012-02-24 16:44:43,2
231,233,115.87.217.202,2012-02-25 11:18:52,2
232,234,58.8.181.101,2012-02-28 11:03:09,2
235,237,125.25.44.128,2012-02-28 12:41:25,2
236,238,110.168.215.96,2012-02-28 12:50:07,2
237,239,119.46.45.46,2012-02-29 11:40:03,2
238,240,182.255.9.36,2012-02-29 12:58:57,2
242,244,110.77.226.196,2012-03-01 12:34:53,0
241,243,110.77.226.196,2012-03-01 12:32:01,0
243,245,110.49.234.172,2012-03-01 19:42:59,2
244,246,124.122.91.176,2012-03-02 16:49:25,2
245,247,203.146.100.82,2012-03-06 10:50:35,2
246,248,118.174.46.50,2012-03-06 17:09:56,2
251,253,110.77.227.169,2012-03-08 15:46:37,0
248,250,171.98.97.17,2012-03-06 18:18:59,2
249,251,119.46.184.2,2012-03-08 12:30:49,2
250,252,119.46.184.2,2012-03-08 12:45:46,2
