id,dead_id,user_id
1,176,6
2,218,6
3,219,6
4,220,6
5,221,6
6,222,1
7,223,1
8,224,1
9,225,1
10,226,1
11,227,1
12,228,1
14,77,26
15,527,26
16,232,6
17,233,6
18,234,6
19,235,6
20,236,6
21,237,6
22,238,6
23,239,1
24,240,1
25,241,1
26,242,6
27,243,6
28,244,6
29,245,6
30,246,1
31,247,1
32,248,6
33,249,6
34,250,6
35,251,6
36,252,6
37,253,1
38,254,1
39,255,1
40,256,1
41,257,1
42,258,1
43,259,6
44,260,6
45,261,6
46,262,6
47,263,1
48,264,1
49,265,1
50,266,1
51,267,1
52,268,1
53,269,1
54,270,1
55,271,1
56,272,1
57,273,1
58,274,1
59,275,1
60,276,6
61,277,6
62,279,6
63,280,6
64,281,6
65,282,6
66,283,6
67,284,6
68,285,6
69,286,6
70,287,6
71,288,6
72,289,6
73,290,6
74,291,6
75,292,6
76,293,6
77,294,6
78,295,6
79,296,6
80,297,6
81,298,6
82,299,6
83,300,6
84,301,6
85,302,6
86,303,6
87,304,1
88,305,1
89,306,1
90,307,1
91,308,1
92,309,6
93,310,6
94,311,6
95,312,6
96,313,26
97,314,26
98,315,6
99,316,6
100,317,6
101,318,26
102,319,1
103,320,6
104,321,26
105,322,26
106,323,26
107,324,26
108,325,26
109,326,26
110,327,26
111,328,26
112,329,26
113,330,26
114,331,26
115,332,1
116,333,1
117,334,1
118,335,1
119,336,1
120,337,1
121,338,1
122,339,27
123,340,1
124,341,1
125,342,26
126,343,26
127,344,26
128,345,26
129,346,26
130,347,26
131,348,26
132,349,26
133,351,26
134,352,26
135,353,26
136,354,26
137,355,26
138,356,26
139,357,26
140,358,26
141,359,26
142,360,26
143,361,26
144,362,26
145,363,26
146,364,26
147,365,26
148,366,26
149,367,26
150,368,26
151,369,26
152,370,26
153,371,26
154,372,26
155,373,26
156,374,6
157,375,26
158,376,26
159,377,26
160,378,6
161,379,6
162,380,6
163,381,26
164,382,26
165,385,26
166,386,26
167,387,26
168,388,26
169,389,26
170,390,26
171,391,26
172,392,26
173,393,26
174,394,26
175,395,26
176,396,26
177,397,26
178,398,26
179,399,26
180,400,26
181,401,26
182,402,26
183,403,26
184,404,26
185,405,26
186,406,26
187,407,26
188,408,26
189,418,26
190,419,26
191,420,26
192,421,26
193,423,1
194,424,26
195,425,26
196,426,26
197,427,26
198,428,26
199,429,26
200,430,26
201,431,26
202,432,26
203,433,26
204,434,26
205,435,26
206,436,26
207,437,26
208,438,26
209,439,26
210,440,26
211,441,26
212,442,26
213,443,26
214,444,26
215,445,26
216,446,6
217,447,6
218,448,6
219,449,26
220,450,26
221,451,26
222,452,26
223,461,1
224,462,1
225,463,1
226,464,1
227,466,26
228,467,26
229,468,26
230,469,26
231,470,26
232,471,26
233,472,26
234,473,26
235,474,26
236,475,26
237,476,26
238,477,26
239,478,26
240,479,26
241,480,26
242,481,26
243,484,26
244,485,26
245,486,26
246,487,26
247,489,26
248,490,26
249,491,26
250,493,26
251,494,26
252,495,26
253,496,26
254,497,26
255,498,26
256,499,26
257,501,26
258,502,26
259,503,26
260,505,26
261,507,26
262,509,1
263,510,1
264,511,1
265,512,26
266,514,26
267,515,1
268,516,1
269,517,1
270,518,26
271,519,6
272,520,1
273,521,26
274,522,26
275,523,26
276,524,26
277,525,26
278,526,26
279,527,1
280,529,26
281,530,26
282,531,26
283,533,26
284,534,26
285,535,1
286,536,26
287,537,26
288,538,26
289,539,26
290,540,26
291,541,26
292,542,26
293,543,26
294,544,26
295,545,26
296,546,26
297,547,1
298,548,1
299,549,26
300,550,26
301,551,26
302,552,26
303,553,26
304,554,26
305,555,26
306,556,26
307,557,26
308,558,26
309,559,26
310,560,26
311,562,26
312,564,1
313,565,1
314,566,1
315,567,1
316,568,6
317,569,6
318,570,6
319,571,6
320,572,6
